course_code,course_name,course_link,page_number
ART472,Advanced Studio in Photography and Digital Art II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2577,2
ART481,Advanced Printmaking I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2578,2
ART482,Advanced Printmaking II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2579,2
ART491,Advanced Sculpture,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2580,2
ART492,Advanced Sculpture,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2581,2
AED221,Practicum in Art Education,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2521,2
AED222,Art Lab,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2522,2
AED321,Principles and Procedures in Art Education,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2539,2
AED324,Student Teaching,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2544,2
AED400,Community Art Education Internship (CAED),https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2558,2
AED407,Advanced Problems in Art Education,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2561,2
AED421,Seminar in Art Education,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2569,2
AED428,Independent Study in Art Education,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2570,2
ARH111,Art History: Prehistoric through Medieval,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2514,2
ARH112,Art History: Renaissance to the Present,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2515,2
ARH310,Art History: Cross-Cultural Perspectives,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2534,2
ARH311,Gender Identity and Modern Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2535,2
ARH312,Art as Social Action,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2536,2
ARH318,History of Photography,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2538,2
ARH321,Classical Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2540,2
ARH322,Medieval Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2542,2
ARH323,Renaissance Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2543,2
ARH325,American Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2545,2
ARH326,Nineteenth-Century European Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2546,2
ARH327,Modern Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2547,2
ARH328,Contemporary Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2548,2
ARH329,Asian Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2549,2
ARH410,Seminar in Art History,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2564,2
ARH412,Topics in Art History,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2566,2
